"Add Recipient","Ajouter destinataire"
"Allow for Guests","Autoriser pour les invités"
"Back","Retour"
"Catalog Product Email to a Friend","Envoyer à un ami"
"Email Address","Adresse mail"
"Email Address:","Adresse mail :"
"Email templates","Gabarits d'email"
"Email to a Friend","Envoyer à un ami"
"Email:","Email :"
"Enabled","Activé"
"Invalid Sender information","Information d'expéditeur invalide"
"Invalid sender email","Email d'expéditeur invalide"
"Limit Sending By","Limiter l'envoi par"
"Link to a friend was sent.","Le lien a été envoyé à un ami."
"Max Products Sent in 1 Hour","Nombre maxi de produits envoyés en 1 heure"
"Max Recipients","Nombre maxi de destinataires"
"Maximum %d email addresses allowed.","%d adresses mail maxi autorisées"
"Message can\'t be empty","Le message ne peut pas être vide"
"Message:","Message :"
"Name","Nom"
"Name:","Nom :"
"Please define correct Cookie instance","Définissez correctement l'instance de cookie"
"Please define correct Product instance","Définissez correctement l'instance de produit"
"Please define correct Sender information","Définissez correctement l'information d'expéditeur"
"Recipient:","Destinataire :"
"Remove Email","Supprimer email"
"Select email template","Sélectionner le gabarit de mail"
"Send email","Envoyer l'email"
"Send product to a friend","Envoyer le produit à un ami"
"Sender name can\'t be empty","Le nom de l'expéditeur est obligatoire"
"Sender:","Expéditeur :"
"Some emails was not sent","Certains mails n'ont pas été envoyés"
"Some problems with data.","Problèmes avec les données."
"You cannot send more than %d emails at a time","Vous ne pouvez pas envoyer plus de %d emails à la fois"
"You cannot send more than %d times in an hour","Vous ne pouvez pas faire plus de %d envois par heure"
"You have exceeded limit of %d sends in an hour","Vous avez dépassé la limite de %d envois par heure"
"You have to specify at least one recipient","Vous devez renseigner au moins un destinataire"
"You input invalid email address for recipient","L'email du destinataire est invalide"
