"# of Uses","# of Uses"
"%s tag(s) have been accepted for moderation","%s mots(s) clé(s) acceptés pour modérations."
"<strong>Tag Name:</strong> %s","<strong>Mot clé:</strong> %s"
"Action","Action"
"Add New Tag","Ajouter un mot clé"
"Add Tags","Ajouter des mots clés"
"Add Your Tags:","Ajouter vos mots clés:"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envie"
"All Tags","Tous les mots clés"
"Approved","Approuvé"
"Are you sure you want to delete this tag?","Êtes-vous sûr(e) de vouloir supprimer ce mot clé ?"
"Are you sure you want to do this?","Êtes-vous sûr(e) d'effectuer cette opération ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Back","Retour"
"Back to Tags List","Retour à la liste de mots clés"
"Base Popularity","Popularité"
"Block Information","Information"
"CSV","CSV"
"Change status","Changer le status"
"Click on a tag to view your corresponding products.","Cliquez sur le mot clé pour voir les produits correspondants."
"Country","Pays"
"Customer My Account My Tags List","Client Mon compte Ma liste de mots clés"
"Customer My Account Tag View","Client Mon compte Voir les mots clés"
"Customer Since","Client depuis"
"Customers","Clients"
"Customers Submitted this Tag","Clients ayant soumis ce mot clé"
"Customers Tagged '%s'","Mots clés clients '%s'"
"Delete","Supprimer"
"Delete Tag","Supprimer mot clé"
"Disabled","Désactivé"
"Edit Tag '%s'","Éditer mot clé '%s'"
"Email","Email"
"First Name","Prénom"
"General Information","Information Générale"
"Grid","Grille"
"ID","ID"
"Last Name","Nom"
"List","Liste"
"Manage Tags","Gérer les mots clés"
"My Recent Tags","Mes mots clés récents"
"My Tags","Mes mot clés"
"Name","Nom"
"New Tag","Nouveau mot clé"
"No matches found.","Aucune correspondance trouvée."
"Other people marked this product with these tags:","Autres personnes ayant marqué ce produit avec ce mot clé :"
"Pending","En attente"
"Pending Tags","Mots clés en attente"
"Popular","Populaire"
"Popular Tags","Mots clés populaires"
"Popularity","Popularité"
"Price","Prix"
"Product Name","Nom du produit"
"Product SKU","SKU Produit"
"Product Tags","Mots clés du produit"
"Products","Produits"
"Products Tagged by Administrators","Mots clés de l'administrateur"
"Products Tagged by Customers","Mots clés des clients"
"Products Tagged with '%s'","Produits Taggés avec '%s'"
"Products tagged with '%s'","Produits taggés avec '%s'"
"SKU","SKU"
"Save And Continue Edit","Enregistrer et continuer à éditer"
"Save Tag","Enregistrer mot clé"
"Search Terms","Rechercher un terme"
"Status","Status"
"Tag","Mot clé"
"Tag ""%s"" has already been added to the product","Le mot clé ""%s"" existe déjà pour ce produit"
"Tag ""%s"" has been added to the product","Le mot clé ""%s"" a été ajouté au produit"
"Tag Name","Nom du mot clé"
"Tagged Products List","Liste des produits ayant un mot clé"
"Tags","Mots clés"
"Tags Aren't Available","Mots clés non disponibles"
"Tags List (All Available)","Liste des mots clés (Ceux disponibles)"
"Tags:","Mots clés:"
"Telephone","Téléphone"
"Unable to find any products tagged with '%s' in the current store","Aucune correspondance d'article pour le mot clé : '%s'"
"Unable to remove tag. Please, try again later.","Impossible de supprimer le mot clé. Veuillez recommencer ultèrieurement."
"Unable to save tag(s)","Impossible d'enregistrer le(s) mot(s) clé(s)"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilisez un espace pour separer les mots clés. Utilisez l'apostrophe (') pour rédiger une phrase."
"Uses","Usages"
"View All Tags","Voir tous les mots clés"
"View Customers","Voir les clients"
"View Products","Voir les produits"
"Visible In","Visible dans"
"XML","XML"
"You have not tagged any products yet.","Vous n'avez taggé aucun produit pour le moment."
"Your tag was successfully deleted","Votre mot clé à été correctement supprimé"
"ZIP/Post Code","ZIP/Code postal"
