"%s and greater","%s et plus"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d produit(s)</strong>ont été trouvé avec ces critères de recherche."
"Advanced Search","Recherche avancée"
"Advanced Search Form","Formulaire de recherche avancée"
"Advanced Search Result","Résultat de recherche avancée"
"All","Tout"
"Applies for ""Like"" Search type only","S'applique au type de recherche ""Like"" uniquement"
"Apply Layered Navigation if search results are less than","Appliquer la navigation par filtres si les résultats de recherche sont moins de"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Le paramétrage modifié a un impact sur les indexes de recherche. Relancez le process <a href=""%s"">Reconstruire les indexes de recherche</a>"
"Autogenerated site map","Plan du site généré automatiquement"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Catalog Search","Recherche catalogue"
"Catalog Search Index","Index de recherche catalogue"
"Don't see what you're looking for?","Vous ne trouvez pas ce que vous cherchez ?"
"Go","Lancer"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Home","Accueil"
"List","Liste"
"Maximum Query Length","Longueur maxi de requête"
"Maximum Query Words Count","Nombre maxi de mots dans la requête"
"Maximum Search query  length is %s. Your query was cut.","La longueur maxi de requête est %s. Votre requête a été tronquée."
"Minimal Query Length","Longueur mini de requête"
"Minimum Search query length is %s","La longueur mini de requête est %s"
"Modify your search","Modifier votre recherche"
"No","Non"
"No items were found using the following search criteria.","Aucun résultat pour ces critères de recherche."
"Please enter ""0"" to enable layered navigation for any number of results","Saisissez ""0"" pour activer la navigation par filtres pour n'importe quel quantité de résultats"
"Popular Search Terms","Termes de recherche populaires"
"Popular search terms","Termes de recherche populaires"
"Quick Search Form","Formulaire de recherche rapide"
"Rebuild Catalog product fulltext search index","Reconstruire l'index de recherche sur le texte complet du catalogue produit"
"Relevance","Pertinence"
"Results","Résultats"
"Search","Chercher"
"Search Settings","Paramètres de recherche"
"Search Terms","Termes de recherche"
"Search Type","Type de recherche"
"Search entire store here...","Rechercher..."
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search results for: '%s'","Résultats de recherche pour : '%s'"
"Search:","Rechercher :"
"Subscribe to Feed","S'abonner au flux"
"There are no search terms available.","Aucun terme de recherche disponible."
"Yes","Oui"
"You have to specify at least one search term","Vous devez spécifier au moins un terme de recherche"
"Your search returns no results.","Aucun résultat pour votre recherche."
"up to %s","jusqu'à %s"
